InvNo,Taxable,TotalGST,InvVal
POS4773,1898.81,94.94,1993.75
POS4774,404.76,20.24,425.0
POS4775,7523.8099999999995,376.19,7900.0
POS4776,285.73,14.29,300.02
POS4777,146.66,7.33,153.99
POS4778,6199.4,575.6,6775.0
POS4779,1566.67,78.33,1645.0
POS4780,1911.8999999999999,95.60000000000001,2007.5
POS4781,4404.76,220.23999999999998,4625.0
POS4782,2165.18,259.82,2425.0
POS4783,1476.18,73.81,1549.99
POS4784,2142.86,257.14,2400.0
POS4785,1976.19,98.81,2075.0
POS4786,2309.52,115.48,2420.0
POS4787,1571.43,78.57,1650.0
POS4788,471.42,23.57,494.99
POS4789,18.75,2.25,20.0
POS4790,5169.049999999999,258.45,5427.49
POS4791,2357.14,117.86,2475.0
POS4792,1880.95,94.05,1975.0
POS4793,130.95,6.55,137.5
POS4794,52.38,2.62,55.0
POS4795,936.9,46.85,983.75
POS4796,976.19,48.81,1020.0
POS4797,1023.81,51.19,1075.0
POS4798,165.01,8.25,173.26
POS4799,885.7,44.28,929.98
POS4800,2333.33,116.67,2450.0
POS4801,1741.07,208.93,1950.0
POS4802,1900.0,95.0,1995.0
POS4803,3198.8199999999997,159.94,3358.76
POS4804,2142.86,257.14,2400.0
POS4805,2833.33,141.67,2975.0
POS4806,1214.29,60.71,1275.0
POS4807,12142.86,607.14,12120.0
POS4808,154.75,7.74,162.49
POS4809,10071.419999999998,503.57,10499.99
POS4810,3223.81,161.19,3385.0
POS4811,4514.26,225.72,4739.99
POS4812,2031.25,243.75,2275.0
POS4813,547.62,27.38,570.0
POS4814,500.71,25.04,525.75
POS4815,2714.28,135.71,2849.99
POS4816,1711.91,85.59,1797.5
POS4817,2867.84,143.39,3011.23
POS4818,744.05,37.2,780.24
POS4819,2166.67,108.33,2270.0
POS4820,5666.66,283.33,5949.99
POS4821,735.71,36.79,772.5
POS4822,3023.81,151.19,3175.0
POS4823,1728.57,86.43,1815.0
POS4824,785.71,39.29,825.0
POS4825,2757.14,137.86,2895.0
POS4826,1918.98,95.94,2014.92
POS4827,6171.43,308.57,6480.0
POS4828,2852.38,142.62,2995.0
POS4829,1566.67,78.33,1645.0
POS4830,695.24,34.76,730.0
POS4831,78.57,3.93,74.5
POS4832,1485.6599999999999,74.28,1559.94
POS4833,4845.23,242.26000000000002,5087.49
POS4834,2523.81,126.19,2650.0
POS4835,1666.67,83.33,1750.0
POS4836,2031.25,243.75,2275.0
POS4837,2357.14,117.86,2475.0
POS4838,2142.86,107.14,2250.0
POS4839,428.57,21.43,450.0
POS4840,2697.6200000000003,134.88,2832.5
POS4841,576.19,28.81,605.0
POS4842,1976.19,98.81,2075.0
POS4843,933.93,47.57,981.5
POS4844,2833.34,141.66,2975.0
POS4845,25.89,3.1,28.99
POS4846,1761.9,88.1,1850.0
POS4847,5985.71,299.28999999999996,6285.0
POS4848,1208.34,60.42,1268.76
POS4849,3452.38,172.62,3620.0
POS4850,157.86,7.89,165.75
POS4851,1938.1100000000001,96.89999999999999,2035.01
POS4852,680.95,34.05,715.0
POS4853,2547.62,127.38,2600.0
POS4854,1780.96,89.05000000000001,1870.01
POS4855,2357.14,117.86,2200.0
POS4856,2357.14,117.86,2470.0
POS4857,3523.7999999999997,176.19,3699.99
POS4858,1614.29,80.71,1690.0
POS4859,2833.33,141.67000000000002,2970.0
POS4860,2416.65,120.83999999999999,2530.49
POS4861,4504.76,225.24,4730.0
POS4862,2309.52,115.48,2300.0
POS4863,3909.52,195.48000000000002,4100.0
POS4864,2461.9,123.1,2580.0
POS4865,671.43,33.57,630.0
POS4866,1566.67,78.33,1645.0
POS4867,5595.24,279.76,5875.0
POS4868,3277.38,163.86,3441.24
POS4869,1423.81,71.19,1495.0
POS4870,2031.25,243.75,2275.0
POS4871,3597.92,322.08,3920.0
POS4872,1752.3799999999999,87.62,1840.0
POS4873,6166.67,308.33,6470.0
POS4874,1614.29,80.71,1695.0
POS4875,1547.62,77.38,1625.0
POS4876,392.86,19.64,412.5
POS4877,1523.81,76.19,1600.0
POS4878,6782.74,492.26,6915.0
POS4879,1869.07,93.45000000000002,1959.52
POS4880,1107.15,55.36,1162.51
POS4881,2833.33,141.67,2975.0
POS4882,5376.1900000000005,268.81,5645.0
POS4883,1571.4,78.57,1649.98
POS4884,2452.39,122.61,2569.99
POS4885,2142.86,107.14,2250.0
POS4886,5260.42,414.58,5675.0
POS4887,6430.93,321.56,6750.49
POS4888,7619.04,380.96000000000004,8000.0
POS4889,1571.43,78.57,1650.0
POS4890,2214.29,110.71,2325.0
POS4891,4806.26,446.25,5199.5
POS4892,1328.57,66.43,1395.0
POS4893,6566.96,478.04,7040.0
POS4894,1292.87,64.65,1357.52
POS4895,5666.67,283.33,5950.0
POS4896,2833.33,141.67,2975.0
POS4897,2507.1400000000003,125.36000000000001,2629.5
POS4898,1107.15,55.36,1162.51
POS4899,2047.62,102.38,2150.0
POS4900,2557.14,127.86,2685.0
POS4901,3261.9,163.1,3420.0
POS4902,8017.83,400.88,8399.699999999999
POS4903,1976.19,98.81,2075.0
POS4904,1261.9,63.1,1325.0
POS4905,2823.81,141.19,2820.0
POS4906,1285.71,64.29,1350.0
POS4907,757.14,37.86,795.0
POS4908,1923.81,96.19,2020.0
POS4909,4007.1400000000003,200.36,4199.5
POS4910,1000.0,50.0,1050.0
POS4911,1324.52,66.22999999999999,1389.75
POS4912,6509.52,325.48,6835.0
POS4913,480.95,24.049999999999997,500.0
POS4914,2852.38,142.62,2995.0
POS4915,1900.0,95.0,1995.0
POS4916,1900.0,95.0,1990.0
POS4917,1926.18,96.31,2022.49
POS4918,286.90999999999997,14.35,300.26
POS4919,5056.25,601.25,5657.5
POS4920,1233.35,61.67,1295.02
POS4921,3240.48,162.02,3400.49
POS4922,5485.7,274.29,5759.99
POS4923,583.35,29.17,609.51
POS4924,2047.62,102.38,2150.0
POS4925,5200.9,624.0999999999999,5825.0
POS4926,1738.1,86.9,1800.0
POS4927,1402.36,70.13000000000001,1472.49
POS4928,804.76,40.24,845.0
POS4929,2513.32,125.66999999999999,2629.9900000000002
POS4930,1288.12,64.4,1352.52
POS4931,3404.76,170.24,3575.0
POS4932,1852.68,222.32,2075.0
POS4933,2547.62,127.38,2675.0
POS4934,2357.14,117.86,2475.0
POS4935,1599.99,80.0,1679.99
POS4936,3552.38,177.62,3730.0
POS4937,5052.400000000001,252.63,5305.02
POS4938,942.87,47.14,990.01
POS4939,3138.1,156.9,3295.0
POS4940,1291.6599999999999,64.58,1356.24
POS4941,1517.8600000000001,75.89,1589.75
POS4942,352.38,17.62,370.0
POS4943,3010.43,302.08,3312.51
POS4944,3000.0,150.0,3150.0
POS4945,314.28,15.71,329.99
POS4946,2187.5,262.5,2450.0
POS4947,2261.9,113.1,2375.0
POS4948,1988.79,99.44,2080.22
POS4949,1547.62,77.38,1600.0
POS4950,1571.43,78.57,1650.0
POS4951,4895.26,244.76000000000002,5140.01
POS4952,666.66,33.33,699.99
POS4953,52.38,2.62,55.0
POS4954,6438.1,321.9,6760.0
POS4955,71.43,3.57,75.0
POS4956,3928.57,196.43,4125.0
POS4957,1116.07,133.93,1250.0
POS4958,1741.07,208.93,1950.0
POS4959,2047.62,102.38,2100.0
POS4960,2165.18,259.82,2350.0
POS4961,2455.36,294.64,2750.0
POS4963,428.58,21.43,450.01
POS4964,5833.34,291.66,6100.0
POS4965,3557.1400000000003,177.86,3735.0
POS4966,2042.8600000000001,102.14,2145.0
POS4967,2423.81,121.19,2500.0
POS4968,446.43,53.57,500.0
POS4969,3604.76,180.24,3785.0
POS4970,5928.57,296.43,6225.0
POS4971,2357.14,117.86,2475.0
